primary_title,start_year,runtime_minutes,genres,vote_average,vote_count,Top Cast,Director,popularity,Budget,Revenue
Ender's Game,2013,114.0,"Action,Adventure,Fantasy",6.6,3558,"Asa Butterfield, Hailee Steinfeld, Harrison Ford, Viola Davis, Ben Kingsley",Gavin Hood,15.533,110000000.0,125537191
Endgame,2015,90.0,"Biography,Drama",5.8,4,"Rico Rodriguez, Efren Ramirez, Valente Rodriguez, Ivonne Coll, Jon Gries",Carmen Marrón,0.6,0.0,0
Endings,2010,97.0,Drama,10.0,1,"Emma Hansen, Matthew Brumlow, Ellen Halper, Joseph Frost",Chris Hansen,0.6,0.0,0
Endless,2018,72.0,Documentary,0.0,1,,Mason Guevara,0.6,0.0,0
Endless Love,2014,104.0,"Drama,Romance",6.8,990,"Alex Pettyfer, Gabriella Wilde, Bruce Greenwood, Rhys Wakefield, Joely Richardson",Shana Feste,8.776,20000000.0,34100000
Endure,2010,92.0,Thriller,7.8,4,"Devon Sawa, Judd Nelson, Joey Lauren Adams, Tom Arnold, Clare Kramer",Joe O'Brien,1.084,0.0,0
Enemies Among Us,2010,76.0,"Action,Drama,Thriller",1.6,4,"Billy Zane, Robin Givens, James DuMont, Eric Roberts, Steven Bauer",Dan Garcia,1.971,100000.0,0
Enemies Closer,2013,85.0,"Action,Thriller",5.2,88,"Jean-Claude Van Damme, Tom Everett Scott, Orlando Jones, Linzey Cocker, Kris Van Damme",Peter Hyams,6.891,5000000.0,0
Enemy,2013,91.0,"Mystery,Thriller",6.9,2754,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon, Isabella Rossellini, Joshua Peace",Denis Villeneuve,14.425,0.0,3396726
Enemy of the State: Camp FEMA Part 2,2010,95.0,Documentary,7.5,1,"Alex E. Jones, Michael Badnarik, Chuck Baldwin, Kaye Beach, Jeffrey Grupp",William Lewis,0.624,0.0,0
England Is Mine,2017,94.0,"Biography,Drama,Music",6.0,32,"Jack Lowden, Jessica Brown Findlay, Simone Kirby, Peter McDonald, Jodie Comer",Mark Gill,2.454,0.0,0
English Vinglish,2012,134.0,"Comedy,Drama,Family",7.5,111,"Sridevi, Adil Hussain, Mehdi Nebbou, Priya Anand, Navika Kotia",Gauri Shinde,5.835,2840000.0,11620000
Ennui,2010,84.0,"Crime,Drama",10.0,1,,Eric Cloutier,0.883,0.0,0
Enough,2017,,Drama,8.7,3,Leanne Brooks,Anna Mantzaris,0.719,0.0,0
Enough Said,2013,93.0,"Comedy,Drama,Romance",6.7,464,"Julia Louis-Dreyfus, James Gandolfini, Catherine Keener, Toni Collette, Tavi Gevinson",Nicole Holofcener,8.722,0.0,25288872
Enough with Catcalling,2018,73.0,Documentary,6.5,2,"Djamila Ribeiro, Nilceia Freire, Margareth Rago, Rosa Luz, Raquel Carvalho",Fernanda Frazão,0.6,0.0,0
Enquiring Minds: The Untold Story of the Man Behind the National Enquirer,2014,98.0,Documentary,6.8,4,,Ric Burns,0.6,750000.0,0
Entanglement,2011,123.0,Crime,5.2,6,"Thomas Middleditch, Jess Weixler, Diana Bang, Johannah Newmarch, Jena Skodje",Jason James,1.364,0.0,0
Enter Nowhere,2011,90.0,"Mystery,Sci-Fi,Thriller",6.7,83,"Katherine Waterston, Scott Eastwood, Sara Paxton, Shaun Sipos, Christopher Denham",Jack Heller,6.899,0.0,0
Enter The Wild,2018,96.0,"Adventure,Drama",4.1,19,"Ben Geurens, Ryan Johnson, Ella Scott Lynch, Socratis Otto, Billie Rose Prichard",Mark Forstmann,6.079,0.0,0
Enter the Battlefield: Life on the Magic - The Gathering Pro Tour,2016,65.0,Documentary,6.6,7,"Shahar Shenhar, Patrick Chapin, Chris Pikula, Melissa DeTora, William Jensen",Nathan Holt,0.939,0.0,0
Enter the Dangerous Mind,2013,88.0,Thriller,4.8,14,"Jake Hoffman, Nikki Reed, Thomas Dekker, Scott Bakula, Jason Priestley",Youssef Delara,2.645,0.0,0
Enter the Warriors Gate,2016,108.0,"Action,Adventure,Comedy",5.8,130,"Uriah Shelton, Ni Ni, Dave Bautista, Mark Chao, Francis Ng Chun-Yu",Matthias Hoene,8.049,0.0,0
Entertainment,2015,103.0,Drama,5.3,34,"Gregg Turkington, Tye Sheridan, John C. Reilly, Lotte Verbeek, Dean Stockwell",Rick Alverson,2.291,0.0,0
Entourage,2015,104.0,Comedy,6.2,647,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara, Jeremy Piven",Doug Ellin,13.802,30000000.0,49263404
Entrance,2012,83.0,"Drama,Horror,Thriller",4.0,9,"Suziey Block, Karen Gorham, Karen Baird, Joshu, Florence Hartigan",Dallas Richard Hallam,1.322,0.0,0
Entropy,2012,76.0,Drama,5.0,1,"Nicole Harbeck, Anny Rosario, Anthony George",Gabriel Anderson,0.84,0.0,0
Entwinement,2013,106.0,Drama,5.7,3,"Faye Ormston, Amy Ormston",Rob Burrows,0.6,0.0,0
Ephraim's Rescue,2013,99.0,"Adventure,Drama,History",6.6,7,"Darin Southam, Richard Benedict, James Gaisford, Koleman Stinger, Katherine Nelson",T.C. Christensen,2.138,0.0,0
Epic,2013,102.0,"Adventure,Animation,Family",6.4,1670,"Colin Farrell, Amanda Seyfried, Christoph Waltz, Josh Hutcherson, Jason Sudeikis",Chris Wedge,13.995,100000000.0,268426634
Epidemic,2018,71.0,Horror,6.0,1,"Gina Destra, Amanda K. Morales, Chloe Carroll, Shelley Brietling, Andrea Helfrich",Stephen Michael Giglio,2.41,0.0,0
Epitaph: Bread and Salt,2013,90.0,"Action,Horror,Sci-Fi",1.0,1,"Nathyn Masters, Marissa Joy Davis, Leena Kurishingal, Vahan Artin, Anita Nicole Brown",Nathyn Masters,0.6,10.0,0
Equal Means Equal,2016,93.0,"Documentary,History,News",2.5,2,"Gloria Steinem, Eleanor Smeal, Lakshmi Puri, Sarah Slamen, Rita Henley Jensen",Kamala Lopez,0.6,0.0,0
Equals,2015,101.0,"Drama,Romance,Sci-Fi",6.0,797,"Nicholas Hoult, Kristen Stewart, Guy Pearce, Jacki Weaver, Bel Powley",Drake Doremus,9.536,16000000.0,2084628
Equity,2016,100.0,Drama,5.8,65,"Anna Gunn, James Purefoy, Sarah Megan Thomas, Alysia Reiner, Sophie von Haselberg",Meera Menon,9.134,0.0,1605463
ErOddity(s) 2,2015,94.0,"Drama,Horror,Sci-Fi",5.3,3,"Addison Graham, Grayson Lange, Cory Tyndall, Clay Yearwood, Walter Delmar",Steven Vasquez,0.6,25000.0,0
Erased,2016,120.0,"Drama,Mystery,Sci-Fi",5.8,347,"Aaron Eckhart, Liana Liberato, Olga Kurylenko, Garrick Hagon, Eric Godon",Philipp Stölzl,9.213,12000000.0,0
Erasing David,2010,80.0,Documentary,5.8,6,,David Bond,0.6,0.0,0
Erebus,2014,91.0,"Horror,Thriller",6.0,1,"Michael Berryman, Michael A. LoCicero, Ally Tully, Marc Vos, Vanessa Leigh",Ricky Laprade,0.84,0.0,0
Eric Clapton: Life in 12 Bars,2017,135.0,"Biography,Documentary,Music",7.4,15,"Eric Clapton, Duane Allman, Ginger Baker, Chuck Berry, Pattie Boyd",Lili Fini Zanuck,1.098,0.0,0
Ernest & Celestine,2012,80.0,"Adventure,Animation,Comedy",7.7,246,"Anne-Marie Loop, Lambert Wilson, Pauline Brunner, Patrice Melennec, Brigitte Virtudes",Stéphane Aubier,9.534,12516654.0,8109160
Eroddity(s),2014,70.0,"Drama,Fantasy,Horror",7.0,1,"Brandon Rife, Addison Graham, Edward Gutierrez, Cory Tyndall, Alderic Vitale",Steven Vasquez,0.6,20000.0,0
Erratum,2010,95.0,Drama,6.6,7,"Tomasz Kot, Ryszard Kotys, Tomasz Radawiec, Janusz Michałowski, Karina Kunkiewicz",Marek Lechki,3.154,0.0,0
Error in the Ménage,2014,70.0,"Comedy,Drama,Horror",5.0,1,,,0.6,0.0,0
Errors of the Human Body,2012,101.0,"Drama,Sci-Fi,Thriller",5.8,30,"Michael Eklund, Karoline Herfurth, Tómas Lemarquis, Rik Mayall, Ulrich Meinecke",Eron Sheean,2.17,1500000.0,0
Eruption: LA,2018,,"Action,Adventure,Sci-Fi",4.7,8,"Matthew Willig, Matt Riedy, Christina Wren, Harry Van Gorkum, Lexi Johnson",Sean Cain,2.387,0.0,0
Escape,2018,86.0,"Crime,Drama,Mystery",4.0,1,"Anora Lyn, Blaize Andres, Celicia Arnold, John Rhys-Davies, C. Thomas Howell",Paul Emami,0.661,0.0,0
Escape Artist,2017,106.0,Drama,7.3,3,"Alex Miller, Grant Liffmann, Brianna Kellum, Kevin Caliber, Zachary Haven",Only Now Existing,1.043,0.0,0
Escape Fire: The Fight to Rescue American Healthcare,2012,95.0,"Documentary,News",8.0,3,,Matthew Heineman,0.6,0.0,97316
Escape From a Nazi Death Camp,2014,38.0,Documentary,7.2,3,,,0.6,,
Escape Plan,2013,115.0,"Action,Crime,Mystery",6.7,2799,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, 50 Cent, Sam Neill",Mikael Håfström,17.88,50000000.0,137328301
Escape Plan 2: Hades,2018,96.0,"Action,Crime,Mystery",4.7,508,"Sylvester Stallone, Dave Bautista, Jesse Metcalfe, 50 Cent, Huang Xiaoming",Steven C. Miller,23.758,20000000.0,17592626
Escape Room,2019,99.0,"Action,Adventure,Horror",5.0,197,"Evan Williams, Annabelle Stephenson, Elisabeth Hower, Dan J. Johnson, John Ierardi",Will Wernick,14.645,0.0,1870824
Escape from Planet Earth,2013,89.0,"Adventure,Animation,Comedy",5.8,459,"Rob Corddry, Brendan Fraser, Jessica Alba, Steve Zahn, Sarah Jessica Parker",Cal Brunker,9.227,40000000.0,74597643
Escape from Tomorrow,2013,90.0,"Drama,Fantasy,Horror",4.8,117,"Roy Abramsohn, Elena Schuber, Katelynn Rodriguez, Jack Dalton, Danielle Safady",Randy Moore,5.743,0.0,0
Escapee,2011,98.0,"Horror,Thriller",4.1,38,"Christine Evangelista, Dominic Purcell, Scott Elrod, Carly Chaikin, Faith Ford",Campion Murphy,3.81,0.0,0
Escapes,2014,,"Adventure,Comedy,Drama",5.0,1,Hampton Fancher,Michael Almereyda,0.6,17778.0,0
Escobar: Paradise Lost,2014,120.0,"Crime,Drama,History",6.3,476,"Benicio del Toro, Josh Hutcherson, Brady Corbet, Claudia Traisac, Carlos Bardem",Andrea Di Stefano,15.924,17000000.0,3758328
Escort in Love,2011,95.0,Comedy,6.3,318,"Paola Cortellesi, Raoul Bova, Rocco Papaleo, Valerio Aprea, Anna Foglietta",Massimiliano Bruno,7.152,0.0,0
Espionage Tonight,2017,85.0,"Action,Comedy",4.6,5,"Sean Astin, Chasty Ballesteros, Joseph Gatt, Saïd Taghmaoui, Lynn Whitfield",Rob Gordon Bralver,1.086,0.0,0
Essential Killing,2010,83.0,"Thriller,War",5.7,73,"Vincent Gallo, Emmanuelle Seigner, David L. Price, Zach Cohen, Iftach Ophir",Jerzy Skolimowski,5.177,3654073.0,0
Essex Boys Retribution,2013,82.0,Crime,4.4,10,"Billy Murray, Vas Blackwood, Alex Esmail, Ian Virgo, Ryan Winsley",Paul Tanter,1.602,0.0,0
Essex Boys: Law of Survival,2015,88.0,"Action,Crime,Drama",5.5,7,"Ross Boatman, Mark Arden, Chris Bell, Carlton Leach, Jesse Birdsall",Steven M. Smith,1.72,60000.0,37500
Essex Vendetta,2016,89.0,Drama,3.3,4,"Michael McKell, Kris Johnson, Lucinda Rhodes Thakrar, Eddie Webber, Danniella Westbrook",Terry Lee Coker,1.224,0.0,0
Esteros,2016,83.0,"Drama,Romance",7.1,48,"Ignacio Rogers, Esteban Masturini, Joaquín Parada, Blas Finardi Niz, Renata Calmon",Papu Curotto,4.088,0.0,0
Estranged,2018,91.0,"Drama,Romance",5.2,35,"James Cosmo, Amy Manson, Nora-Jane Noone, Craig Conway, James Lance",Adam Levins,5.078,0.0,0
Eternal Damn Nation,2013,82.0,"Action,Horror,Thriller",3.5,2,"Jade Elysan, Alan Del Tufo, Carson Dougherty, Wyatt Kuether, John B. McCann",Alan Del Tufo,0.6,0.0,0
Eternal Torture,2013,75.0,Drama,7.0,1,"Tiesha Brown, Devin Laster, Jonathan Leigh West, Micah Bolden, Bernard Reese",Pete Peter,0.6,0.0,0
Eternity: The Movie,2014,88.0,"Comedy,Music,Musical",2.1,6,"Barrett Crake, Myko Olivier, Nikki Leonti, Eric Roberts, Jon Gries",Ian Thorpe,0.62,0.0,0
Ethel,2012,97.0,"Biography,Documentary",8.0,5,"Ethel Kennedy, Rory Kennedy, Ralph Bunche, Fidel Castro, Cesar Chavez",Rory Kennedy,0.6,0.0,0
Ethirmarai,2018,90.0,"Crime,Thriller",4.0,1,,Ajai Kumar,0.6,0.0,0
Ethos,2014,,Drama,6.7,8,"Woody Harrelson, Noam Chomsky, Howard Zinn, Richard Pearl, Chalmers Johnson",Pete McGrain,2.347,500000.0,0
Euphonia,2013,54.0,"Drama,Thriller",6.8,4,"Will Madden, Maria DeCotis",Danny Madden,0.6,0.0,0
Eurocrime! The Italian Cop and Gangster Films That Ruled the '70s,2012,137.0,"Action,Crime,Documentary",8.0,8,"Enzo G. Castellari, Leonard Mann, Franco Nero, Fred Williamson, Joe Dallesandro",Mike Malloy,0.6,0.0,0
Europa Report,2013,90.0,"Drama,Mystery,Sci-Fi",6.2,723,"Anamaria Marinca, Michael Nyqvist, Sharlto Copley, Daniel Wu, Karolina Wydra",Sebastián Cordero,10.868,0.0,125687
Eva,2018,100.0,"Drama,Romance",6.5,199,"Daniel Brühl, Marta Etura, Alberto Ammann, Claudia Vega, Anne Canovas",Kike Maíllo,7.321,7971518.0,0
Eva Hesse,2016,108.0,"Biography,Documentary,History",7.0,4,"Selma Blair, Bob Balaban, Patrick Kennedy, Tom Doyle, Werner Nekes",Marcie Begleiter,1.442,0.0,0
Evan's Crime,2015,95.0,Drama,1.0,1,"Douglas Smith, David Arquette, Annika Noelle, James Moses Black, Jason Kirkpatrick",Sandy Tung,0.638,0.0,0
Evangelion: 3.0 You Can (Not) Redo,2012,96.0,"Action,Animation,Drama",7.6,179,"Megumi Ogata, Yuko Miyamura, Akira Ishida, Megumi Hayashibara, Maaya Sakamoto",Hideaki Anno,9.395,13000000.0,67282623
Evaporating Borders,2014,73.0,"Documentary,Drama",8.0,3,Iva Radivojević,Iva Radivojević,0.617,0.0,0
Even Lambs Have Teeth,2015,78.0,"Horror,Thriller",5.9,27,"Kirsten Zien, Tiera Skovbye, Darren Mann, Michael Karl Richards, Manny Jacinto",Terry Miles,2.94,0.0,0
Even Lovers Get the Blues,2016,95.0,Drama,7.9,7,"Marie Denys, Tristan Schotte, Gabriel Da Costa, Adriana Da Fonseca, Séverine Porzio",Laurent Micheli,2.544,0.0,0
Even the Rain,2010,103.0,"Drama,History",7.0,134,"Luis Tosar, Gael García Bernal, Juan Carlos Aduviri, Karra Elejalde, Raúl Arévalo",Icíar Bollaín,7.286,10600000.0,0
Ever,2014,97.0,"Drama,Romance",7.8,4,"Wendy McColm, Christina Elizabeth Smith, Micah Van Hove, Josh Beck, Brandon Bales",Josh Beck,0.6,12000.0,0
Everest,2015,121.0,"Action,Adventure,Biography",6.7,2874,"Jason Clarke, Josh Brolin, John Hawkes, Sam Worthington, Emily Watson",Baltasar Kormákur,19.9,55000000.0,203427584
Everlasting,2016,85.0,"Crime,Drama,Mystery",6.7,10,"Cortney Palm, Elisabeth Röhm, Valentina de Angelis, Pat Healy, Bai Ling",Anthony R. Stabley,2.634,0.0,0
Everlasting Love,2014,69.0,"Drama,Mystery,Romance",3.1,7,"Joan Bentallé, Aimar Vega, Sonny Smith, Miguel Rojas, Joana Mallo",Marçal Forés,0.858,0.0,0
Everly,2014,92.0,"Action,Thriller",5.2,321,"Salma Hayek Pinault, Hiroyuki Watanabe, Laura Cepeda, Togo Igawa, Akie Kotabe",Joe Lynch,8.512,0.0,358156
Every 21 Seconds,2018,120.0,Drama,6.0,1,"Shannon Brown, Kelly Thiebaud, Jim O'Heir, Matt Pratt, Robyn Coffin",Kuba Luczkiewicz,3.199,0.0,0
Every Act of Life,2018,93.0,"Biography,Documentary",8.0,1,"Terrence McNally, F. Murray Abraham, Lynn Ahrens, Jon Robin Baitz, Christine Baranski",Jeffrey Kaufman,2.645,0.0,0
Every Day,2010,93.0,"Comedy,Drama,Romance",5.5,46,"Liev Schreiber, Helen Hunt, Carla Gugino, Ezra Miller, David Harbour",Richard Levine,5.22,0.0,18000
Every Other Holiday,2018,90.0,"Drama,Family,Romance",6.7,3,"Schuyler Fisk, David Clayton Rogers, Dee Wallace, Glenn Morshower, Abigail James Witherspoon",Blair Hayes,2.442,0.0,0
Every Secret Thing,2014,93.0,"Crime,Drama,Mystery",5.8,132,"Diane Lane, Elizabeth Banks, Dakota Fanning, Danielle Macdonald, Nate Parker",Amy J. Berg,6.038,0.0,103536
Every Thing Will Be Fine,2015,90.0,Drama,5.5,127,"James Franco, Rachel McAdams, Charlotte Gainsbourg, Marie-Josée Croze, Peter Stormare",Wim Wenders,7.528,12000000.0,554953
Everybody Has a Plan,2012,118.0,"Crime,Drama,Thriller",4.6,20,"Viggo Mortensen, Soledad Villamil, Daniel Fanego, Javier Godino, Sofía Gala Castiglione",Ana Piterbarg,1.659,3000000.0,0
Everybody Loves Somebody,2017,102.0,"Comedy,Romance",6.5,82,"Karla Souza, José María Yázpik, Ben O'Toole, Patricia Bernal, Tiaré Scanda",Catalina Aguilar Mastretta,6.897,2000000.0,0
Everybody Street,2013,83.0,"Biography,Documentary,History",7.7,3,"Bruce Davidson, Martha Cooper, Elliott Erwitt, Jill Freedman, Bruce Gilden",Cheryl Dunn,0.84,0.0,0
Everybody Wants Some!!,2016,117.0,Comedy,6.4,681,"Blake Jenner, Zoey Deutch, Ryan Guzman, Tyler Hoechlin, J. Quinton Johnson",Richard Linklater,6.839,10000000.0,3400278
Everybody's Fine,2016,105.0,Drama,6.0,1,"Zhang Guoli, Yao Chen, Shawn Dou, Chen He, Zhang Yi",Zhang Meng,0.633,0.0,0
Everybody's Got Somebody... Not Me,2012,95.0,Drama,5.5,4,"Naian González Norvind, Andrea Portal, Tamara Mazarrasa, Gimena Gómez, Isabel Aerenlund",Raúl Fuentes,0.6,0.0,0
Everyday Black Man,2010,105.0,"Action,Drama",5.0,2,"Henry Brown, Omari Hardwick, Tessa Thompson",Carmen Madden,0.6,0.0,0
Everyday Is Like Sunday,2013,90.0,"Comedy,Drama",7.0,2,David Dineen-Porter,Pavan Moondi,0.84,30000.0,0
Everyone Must Die!,2012,71.0,Horror,5.0,1,"Nicole Beattie, Erica Benda, Rebecca Campbell, Dan Christmas, Ben Dietels",Steve Rudzinski,0.662,3500.0,0
Everyone Says I Look Just Like Her,2010,86.0,"Comedy,Drama",5.0,1,"Dee Herlihy, Joe Swanberg, Jacinda Williams, Ryan Andrew Balas",Ryan Andrew Balas,0.6,0.0,0
Everyone's Going to Die,2013,87.0,Drama,6.0,1,"Nora Tschirner, Rob Knighton, Kellie Shirley, Madeline Duggan, Stirling Gallacher",Jones,0.925,79755.0,0
Everything Beautiful Is Far Away,2017,91.0,"Fantasy,Sci-Fi",7.0,8,"Julia Garner, Joseph Cross, C.S. Lee, Jillian Mayer",Pete Ohs,1.994,0.0,0
Everything Before Us,2015,99.0,"Drama,Romance",5.6,16,"Aaron Yoo, Brittany Ishibashi, Brandon Soo Hoo, Victoria Park, Randall Park",Philip Wang,2.046,0.0,0
Everything Else,2016,98.0,Drama,7.0,2,Adriana Barraza,Natalia Almada,0.6,0.0,0
Everything In-Between: The Story of Ellipse,2010,90.0,Documentary,10.0,1,Imogen Heap,Justine Pearsall,0.6,0.0,0
Everything Is Copy,2015,89.0,"Biography,Documentary",7.7,12,"Nora Ephron, Delia Ephron, Tom Hanks, Meryl Streep, Reese Witherspoon",Jacob Bernstein,1.338,0.0,0
Everything Is Terrible! Presents: The Great Satan,2017,72.0,"Comedy,Fantasy,Horror",10.0,1,"Gene Simmons, Maryjean Ballner, John Hagee, Dexter Holland, Hal Douglas",Dimitri Simakis,0.6,0.0,0
Everything Must Go,2010,97.0,"Comedy,Drama",6.0,301,"Will Ferrell, C.J. Wallace, Rebecca Hall, Michael Peña, Rosalie Michaels",Dan Rush,7.493,5000000.0,2614773
Everything is Free,2017,92.0,"Comedy,Drama",8.5,4,"Brian Jordan Alvarez, Morgan Krantz, Peter Vack, Jason Greene, Judilin Bosita",Brian Jordan Alvarez,0.6,0.0,0
Everything or Nothing,2012,98.0,Documentary,7.2,37,"Daniel Craig, Pierce Brosnan, Timothy Dalton, Roger Moore, George Lazenby",Stevan Riley,4.063,0.0,0
"Everything, Everything",2017,96.0,"Drama,Romance",7.2,2447,"Amandla Stenberg, Nick Robinson, Anika Noni Rose, Ana de la Reguera, Taylor Hickson",Stella Meghie,13.998,10000000.0,61621140
Evidence,2013,94.0,"Crime,Mystery,Thriller",5.6,125,"Torrey DeVitto, Caitlin Stasey, Harry Lennix, Stephen Moyer, Nolan Gerard Funk",Olatunde Osunsanmi,7.597,0.0,0
Evil Bong 3: The Wrath of Bong,2011,87.0,"Comedy,Horror,Sci-Fi",4.1,9,"John Patrick Jordan, Brian Lloyd, Mitch Eakins, Peter Stickles, Christina DeRosa",Charles Band,1.843,0.0,91260
Evil Bong 420,2015,53.0,"Comedy,Horror",2.5,4,"Sonny Carl Davis, John Patrick Jordan, Robin Sydney, Michelle Mais, Amy Paffrath",Charles Band,1.885,0.0,0
Evil Bong 666,2017,65.0,"Comedy,Horror",5.3,4,"Megan Sage, Riley Mae, Robin Sydney, Kylie Sky, Jessica Morris",Charles Band,1.257,0.0,0
Evil Bong: High 5,2016,70.0,"Comedy,Horror",2.3,6,"John Patrick Jordan, Robin Sydney, Mindy Robinson, Amy Paffrath, Sonny Carl Davis",Charles Band,1.381,0.0,0
Evil Dead,2013,91.0,"Fantasy,Horror,Thriller",6.4,2664,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore",Fede Álvarez,13.089,17000000.0,99010045
Evil Exhumed,2016,76.0,Horror,2.0,3,"Eric Roberts, Aisling Goodman, James Drew Dean, Caz Odin Darko, Jayden Holman",David DeCoteau,0.697,0.0,0
Evil Feed,2013,90.0,"Action,Horror",4.3,12,"Laci J. Mailey, Terry Chen, Alain Chanoine, Alyson Bath, Derek Gilroy",Kimani Ray Smith,1.483,0.0,0
Evil Intent,2010,74.0,Thriller,10.0,1,"Giovanna Leah, Libby Baker, Andrea Rabold, Jason W. Griffith, Glenn Berggoetz",Glenn Berggoetz,0.6,2000.0,10454
Evil in Her,2017,104.0,Horror,7.5,2,,,0.681,0.0,0
Evolution,2015,81.0,"Drama,Mystery,Sci-Fi",6.3,73,"Max Brebant, Roxane Duran, Julie-Marie Parmentier, Mathieu Goldfeld, Nissim Renard",Lucile Hadžihalilović,4.208,0.0,0
Evolution 4K,2018,56.0,Documentary,1.0,1,,Ekrem Engizek,0.6,150000.0,0
Evolution of Bodybuilding,2012,87.0,Documentary,6.5,2,"Lou Ferrigno, Jay Cutler, Frank Zane, Shawn Ray, Bill Dobbins",,0.6,0.0,0
Evolution of Evil,2018,70.0,Thriller,3.0,1,"Erin McGarry, Dennis Fitzpatrick, Michael Draper, Nikki Flinn, Jeffrey Arrington",Kevin Forrest,1.617,0.0,0
Evolution of a Criminal,2014,81.0,Documentary,8.0,4,"Vladimir Versailles, Dante E. Clark",Darius Clark Monroe,0.968,0.0,0
Evolution's Achilles' Heels,2014,96.0,Documentary,6.8,3,Dr Rob Carter,,0.6,0.0,0
Ex,2010,95.0,Romance,5.3,2,"Gillian Chung, William Chan Wai-Ting, Michelle Wai Si-Nga, Lawrence Chou Chun-Wai, Chapman To Man-Chat",Heiward Mak Hei-Yan,1.96,0.0,0
Ex Machina,2014,108.0,"Drama,Mystery,Sci-Fi",7.6,8026,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno, Corey Johnson",Alex Garland,18.485,15000000.0,36869414
Ex-Girlfriends,2012,72.0,"Comedy,Drama",4.6,6,"Alexander Poe, Kristen Connolly, Jennifer Carpenter, Noah Bean, Liz Holtan",Alexander Poe,0.958,0.0,0
Ex-Wife Killer,2017,85.0,Thriller,4.3,3,"Marguerite Moreau, Jordan Belfi, Arianne Zucker, David Bickford, Jessica Blackmore",Danny J. Boyle,1.241,0.0,0
Excess Baggage,2014,90.0,"Comedy,Drama,Romance",2.0,1,"Brad Hills, Hari Williams, Jennifer Kairis, Taylor Lawrence, Royana Black",Brad Hills,0.6,20000.0,0
Excess Flesh,2015,103.0,"Drama,Horror,Thriller",3.5,14,"Effie Lavore, Mary Loveless, Wes McGee, Kristin Minter, Jill Jacobson",Patrick Kennelly,1.224,0.0,0
Excision,2014,55.0,"Biography,Documentary",6.0,244,"AnnaLynne McCord, Traci Lords, Ariel Winter, Roger Bart, Jeremy Sumpter",Richard Bates Jr.,6.973,0.0,0
Excursions,2016,80.0,Adventure,10.0,1,"Jacqueline Wright, Hugo Armstrong, Mandy Freund, Cody Henderson",Daniel Martinico,0.6,0.0,0
Excuse Me,2012,90.0,"Comedy,Drama",4.8,4,"Sara Hjort Ditlevsen, Nicolas Bro, Lotte Andersen, Søren Østergaard, Stine Stengade",Henrik Ruben Genz,2.986,110700.0,0
Excuse Me for Living,2012,106.0,"Comedy,Romance",4.7,9,"Tom Pelphrey, Christopher Lloyd, Robert Vaughn, Melissa Archer, Ewa Da Cruz",Ric Klass,1.012,0.0,0
Executor,2017,93.0,"Action,Drama",4.0,1,"Markiss McFadden, Paul Sorvino, Mischa Barton, Robert Miano, Eric Roberts",Moziko Wind,1.153,0.0,0
Exeter,2015,91.0,"Horror,Mystery,Thriller",4.7,121,"Stephen Lang, Kelly Blatz, Brittany Curran, Gage Golightly, Nick Nicotera",Marcus Nispel,5.934,0.0,0
Exhibit X,2012,91.0,"Crime,Horror,Thriller",1.0,1,,,0.6,0.0,0
Exhibition,2013,104.0,Drama,4.9,15,"Viv Albertine, Liam Gillick, Tom Hiddleston, Harry Kershaw, Mary Roscoe",Joanna Hogg,1.973,0.0,0
Exhumed,2011,93.0,Horror,4.7,3,"Debbie Rochon, Evalena Marie, Sarah Nicklin, Michael Reed, Nathaniel Sylva",Richard Griffin,1.221,0.0,0
Exile,2017,50.0,Drama,3.0,1,"Brian Sheridan, Heather Lei Guzzetta, Tiffany Sinclair, Jake Bass, Sheila Conway",Mike Conway,0.6,0.0,0
Exile Nation: The Plastic People,2014,75.0,"Biography,Documentary,News",8.0,1,Edward James Olmos,Charles Shaw,0.6,0.0,0
Exiles,2019,88.0,Documentary,5.5,2,"Troian Bellisario, Shane Coffey",Tommy Bertelsen,0.6,0.0,0
Exists,2014,81.0,"Action,Adventure,Horror",4.9,128,"Denise Williamson, Samuel Davis, Roger Edwards, Chris Osborn, Dora Madison",Eduardo Sánchez,7.339,0.0,0
Exit,2013,34.0,"Biography,Documentary,Drama",6.0,1,"Julian Glover, Ed Coleman, Christopher Brandon, Helena Johnson, Keith Hill",Daniel Zimbler,0.6,0.0,0
Exit 33,2011,89.0,Horror,4.7,3,"Kane Hodder, Antoinette Nikprelaj, Jerry Reid, Maria Hildreth, Virginia Bryant",Tommy Brunswick,0.712,0.0,0
Exit Humanity,2011,114.0,"Drama,Horror",5.3,53,"Stephen McHattie, Brian Cox, Mark Gibson, Ari Millen, Jordan Hayes",John Geddes,4.782,300000.0,0
Exit Strategy,2012,76.0,"Comedy,Romance",7.0,1,"Misty Alli, Noelle Balfour, Big Boy, Sid Burston, Kevin Hart",Michael Whitton,1.4,0.0,0
